"cell_id","scenario_id","scenario_order","scenario_label","short_label","purpose","in_main_text","n","h","is_null","reps","alpha","atom","seed","effect_text","pi0","pi1","expected_combined_delta","empirical_combined_delta","empirical_combined_delta_sd","method","reject_rate","mcse","fail_rate","median_runtime_sec","successful_reps","method_label"
1,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,0,TRUE,10000,0.05,0,20260416,"$\\delta = 0.00$",0.85,0.85,0,0.00209377399239975,0.281519557620331,"wilcoxon",0.0493,0.00216493671962947,0,0.00100000000020373,10000,"Wilcoxon"
1,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,0,TRUE,10000,0.05,0,20260416,"$\\delta = 0.00$",0.85,0.85,0,0.00209377399239975,0.281519557620331,"t_test",0.0506,0.00219179469841498,0,0.000999999999976353,10000,"T-test"
1,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,0,TRUE,10000,0.05,0,20260416,"$\\delta = 0.00$",0.85,0.85,0,0.00209377399239975,0.281519557620331,"lrt",0.0545,0.00227001651976368,0,0.007000000000005,10000,"Parametric LRT"
1,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,0,TRUE,10000,0.05,0,20260416,"$\\delta = 0.00$",0.85,0.85,0,0.00209377399239975,0.281519557620331,"splrt",0.0548,0.0022758945494025,0,0.221999999999753,10000,"Semi-parametric LRT"
2,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,0,TRUE,10000,0.05,0,20260417,"$\\delta = 0.00$",0.85,0.85,0,0.00237042164114119,0.199825201174027,"wilcoxon",0.0462,0.00209917983984222,0,0.00199999999995271,10000,"Wilcoxon"
2,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,0,TRUE,10000,0.05,0,20260417,"$\\delta = 0.00$",0.85,0.85,0,0.00237042164114119,0.199825201174027,"t_test",0.0477,0.00213130734526956,0,0.000999999999976353,10000,"T-test"
2,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,0,TRUE,10000,0.05,0,20260417,"$\\delta = 0.00$",0.85,0.85,0,0.00237042164114119,0.199825201174027,"lrt",0.0529,0.00223833844625874,0,0.00700000000006185,10000,"Parametric LRT"
2,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,0,TRUE,10000,0.05,0,20260417,"$\\delta = 0.00$",0.85,0.85,0,0.00237042164114119,0.199825201174027,"splrt",0.0535,0.00225028331549607,0,0.235999999999876,10000,"Semi-parametric LRT"
3,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,0,TRUE,10000,0.05,0,20260418,"$\\delta = 0.00$",0.85,0.85,0,-0.00310625107306395,0.163977443285496,"wilcoxon",0.05,0.00217944947177034,0,0.00199999999999534,10000,"Wilcoxon"
3,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,0,TRUE,10000,0.05,0,20260418,"$\\delta = 0.00$",0.85,0.85,0,-0.00310625107306395,0.163977443285496,"t_test",0.0484,0.00214609971809327,0,0.000999999999976353,10000,"T-test"
3,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,0,TRUE,10000,0.05,0,20260418,"$\\delta = 0.00$",0.85,0.85,0,-0.00310625107306395,0.163977443285496,"lrt",0.0513,0.00220608952674183,0,0.00799999999981083,10000,"Parametric LRT"
3,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,0,TRUE,10000,0.05,0,20260418,"$\\delta = 0.00$",0.85,0.85,0,-0.00310625107306395,0.163977443285496,"splrt",0.0514,0.00220812227922278,0,0.253999999999905,10000,"Semi-parametric LRT"
4,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,0,TRUE,10000,0.05,0,20260419,"$\\delta = 0.00$",0.85,0.85,0,0.000490653697519968,0.141926956935886,"wilcoxon",0.0545,0.00227001651976368,0,0.00299999999992906,10000,"Wilcoxon"
4,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,0,TRUE,10000,0.05,0,20260419,"$\\delta = 0.00$",0.85,0.85,0,0.000490653697519968,0.141926956935886,"t_test",0.051,0.00219997727260988,0,0.00100000000000477,10000,"T-test"
4,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,0,TRUE,10000,0.05,0,20260419,"$\\delta = 0.00$",0.85,0.85,0,0.000490653697519968,0.141926956935886,"lrt",0.0563,0.00230500130151807,0,0.0080000000000382,10000,"Parametric LRT"
